"lang"
{
"Language"	"tchinese"
"classinfo_pyro"	"在角落埋伏敵人！
你離目標越近，火焰噴射器就越有效果。"
"[english]classinfo_pyro"	"Ambush enemies at corners!
Your flamethrower is more effective the closer you are to your target!"
"classinfo_spy"	"將自己偽裝成敵方，滲透敵方基地！
掩飾自己，避免被看見！
利用刀子背刺敵人，快速殺敵！
設置破壞器摧毀敵方的步哨防禦槍！"
"[english]classinfo_spy"	"Disguise yourself as a enemy and infiltrate the enemy base!
cloak yourself to avoid being seen!
Backstab your enemies with your knife for an instant kill!
Plant sappers on enemy sentry guns to destroy them!"
"classinfo_engineer"	"從掉落的武器蒐集金屬建造步哨防禦槍！
建造步哨防禦槍防禦你的基地！ 將步哨防禦槍升到第 3 級！
建造補給器為你的隊友提供治療品及彈藥！
建造傳送裝置協助隊員到前線！"
"[english]classinfo_engineer"	"Collect metal from fallen weapons to build with!
Build sentry guns to defend your base! Upgrade them to level 3!
Build dispensers to supply your teammates with health & ammo!
Build teleporters to help team mates get to the front lines!"
"classinfo_random"	"讓遊戲隨機挑選兵種。"
"[english]classinfo_random"	"Let the game randomly choose a class for you."
"TF_Welcome"	"歡迎"
"[english]TF_Welcome"	"Welcome"
"TF_Welcome_birthday"	"歡迎，TF2 生日快樂！"
"[english]TF_Welcome_birthday"	"Welcome and Happy Birthday TF2!"
"TF_Welcome_halloween"	"歡迎，萬聖節快樂！"
"[english]TF_Welcome_halloween"	"Welcome and Happy Halloween!"
"TF_Cancel"	"取消(&0)"
"[english]TF_Cancel"	"CANCEL (&0)"
"TF_Back"	"返回(&B)"
"[english]TF_Back"	"&BACK"
"TF_WatchIntro"	"觀看影片(&W)"
"[english]TF_WatchIntro"	"&WATCH MOVIE"
"Button_SkipIntro"	"跳過影片(&S)"
"[english]Button_SkipIntro"	"&SKIP MOVIE"
"TF_Continue"	"繼續(&C)"
"[english]TF_Continue"	"&CONTINUE"
"TF_SelectATeam"	"選擇隊伍"
"[english]TF_SelectATeam"	"SELECT A TEAM"
"TF_SelectAClass"	"選擇兵種"
"[english]TF_SelectAClass"	"SELECT A CLASS"
"TF_AutoTeamSelect"	"自動選擇"
"[english]TF_AutoTeamSelect"	"AUTO SELECT"
"TF_Spectate"	"旁觀"
"[english]TF_Spectate"	"SPECTATE"
"TF_Play"	"開始遊戲！"
"[english]TF_Play"	"PLAY!"
"TF_Close"	"關閉(&C)"
"[english]TF_Close"	"&CLOSE"
"TF_ResetStats"	"重設統計資料(&R)"
"[english]TF_ResetStats"	"&RESET STATS"
"TF_NextTip"	"下個提示(&T)"
"[english]TF_NextTip"	"NEXT &TIP"
"TF_NextTip_360"	"下個提示"
"[english]TF_NextTip_360"	"Next Tip"
"TF_Confirm"	"確認"
"[english]TF_Confirm"	"Confirm"
"TF_ConfirmResetStats"	"是否確定要重設您的玩家統計資料？
重設後無法恢復您的舊統計資料！"
"[english]TF_ConfirmResetStats"	"Are you sure you want to reset your player stats?
Once reset your old stats cannot be recovered!"
"TF_TeamsSwitched"	"團隊已經變更。"
"[english]TF_TeamsSwitched"	"Teams have been switched."
"TF_ClassMenu_Reset"	"重設"
"[english]TF_ClassMenu_Reset"	"RESET"
"TF_WatchIntro_360"	"觀看影片"
"[english]TF_WatchIntro_360"	"Watch Movie"
"Button_SkipIntro_360"	"跳過影片"
"[english]Button_SkipIntro_360"	"Skip Movie"
"TF_Continue_360"	"繼續"
"[english]TF_Continue_360"	"Continue"
"TF_Offense"	"進攻"
"[english]TF_Offense"	"OFFENSE"
"TF_Defense"	"防守"
"[english]TF_Defense"	"DEFENSE"
"TF_Support"	"支援"
"[english]TF_Support"	"SUPPORT"
"TF_Next"	"下一頁"
"[english]TF_Next"	"Next"
"TF_Prev"	"上一頁"
"[english]TF_Prev"	"Previous"
"TF_NextPrev"	"下一頁/上一頁"
"[english]TF_NextPrev"	"Next / Previous"
"TF_timeleft"	"剩餘時間：%s1:%s2"
"[english]TF_timeleft"	"Time left:  %s1:%s2"
"TF_timeleft_nolimit"	"* 無時間限制 *"
"[english]TF_timeleft_nolimit"	"* No Time Limit *"
"TF_nextmap"	"下一張地圖：%s1"
"[english]TF_nextmap"	"Next map : %s1"
"TF_PlayingTo"	"遊戲回合：%rounds%"
"[english]TF_PlayingTo"	"Playing to: %rounds%"
"TF_Cloak"	"隱形"
"[english]TF_Cloak"	"CLOAK"
"TF_Metal"	"金屬"
"[english]TF_Metal"	"METAL"
"TF_Phase"	"躲避"
"[english]TF_Phase"	"DODGE"
"TF_Ball"	"球"
"[english]TF_Ball"	"BALL"
"TF_Jar"	"罐子"
"[english]TF_Jar"	"JAR"
"TF_Rage"	"憤怒"
"[english]TF_Rage"	"RAGE"
"TF_Berzerk"	"獵頭數"
"[english]TF_Berzerk"	"HEADS"
"TF_Charge"	"載量"
"[english]TF_Charge"	"CHARGE"
"TF_OUT_OF_AMMO"	"沒有彈藥"
"[english]TF_OUT_OF_AMMO"	"OUT OF AMMO"
"Game_connected"	"%s1 已連線"
"[english]Game_connected"	"%s1 connected"
"game_spawn_as"	"*你將成為 %s1"
"[english]game_spawn_as"	"*You will spawn as %s1"
"game_respawn_as"	"*您將重生為 %s1"
"[english]game_respawn_as"	"*You will respawn as %s1"
"game_spawn_asrandom"	"*系統將為你隨機選擇種類加入遊戲"
"[english]game_spawn_asrandom"	"*You will spawn as random class"
"game_respawn_asrandom"	"*系統將為你隨機選擇兵種重生"
"[english]game_respawn_asrandom"	"*You will respawn as a random class"
"round_restart_in_sec"	"本回合將於 %s1 秒後重新開始"
"[english]round_restart_in_sec"	"The round will restart in %s1 second"
"round_restart_in_secs"	"本回合將於 %s1 秒後重新開始"
"[english]round_restart_in_secs"	"The round will restart in %s1 seconds"
"game_restart_in_sec"	"遊戲將於 %s1 秒後重新開始"
"[english]game_restart_in_sec"	"The game will restart in %s1 second"
"game_restart_in_secs"	"遊戲將於 %s1 秒後重新開始"
"[english]game_restart_in_secs"	"The game will restart in %s1 seconds"
"game_switch_in_sec"	"換隊！
遊戲將於 %s1 秒後重新開始"
"[english]game_switch_in_sec"	"Switching teams!
The game will restart in %s1 second"
"game_switch_in_secs"	"換隊！
遊戲將於 %s1 秒後重新開始"
"[english]game_switch_in_secs"	"Switching teams!
The game will restart in %s1 seconds"
"game_scramble_in_sec"	"隨機組隊！
遊戲將於 %s1 秒後重新開始"
"[english]game_scramble_in_sec"	"Scrambling the teams!
The game will restart in %s1 second"
"game_scramble_in_secs"	"隨機組隊！
遊戲將於 %s1 秒後重新開始"
"[english]game_scramble_in_secs"	"Scrambling the teams!
The game will restart in %s1 seconds"
"game_respawntime_now"	"準備重生"
"[english]game_respawntime_now"	"Prepare to respawn"
"game_respawntime_in_sec"	"重生時間：1 秒"
"[english]game_respawntime_in_sec"	"Respawn in: 1 second"
"game_respawntime_in_secs"	"重生時間：%s1 秒"
"[english]game_respawntime_in_secs"	"Respawn in: %s1 seconds"
"game_respawntime_stalemate"	"驟死戰中無法重生"
"[english]game_respawntime_stalemate"	"No respawning in Sudden Death"
"game_respawntime_next_round"	"重生時間：等待下一回合"
"[english]game_respawntime_next_round"	"Respawn in: Wait for next round"
"game_auto_team_balance_in"	"遊戲將於 %s1 秒後自動平衡人數。"
"[english]game_auto_team_balance_in"	"Teams will be auto-balanced in %s1 seconds."
"game_player_was_team_balanced"	"%s1 被移到另一隊，平衡遊戲人數。"
"[english]game_player_was_team_balanced"	"%s1 was moved to the other team for game balance"
"game_idle_kick"	"%s1 閒置過久被踢出遊戲"
"[english]game_idle_kick"	"%s1 has been idle for too long and has been kicked"
"TF_MOTD_Title"	"本日訊息"
"[english]TF_MOTD_Title"	"MESSAGE OF THE DAY"
"TF_playerid_sameteam"	"%s1%s2"
"[english]TF_playerid_sameteam"	"%s1%s2"
"TF_playerid_diffteam"	"%s1敵人：%s2"
"[english]TF_playerid_diffteam"	"%s1Enemy: %s2"
"TF_playerid_noteam"	"%s1"
"[english]TF_playerid_noteam"	"%s1"
"TF_playerid_object"	"%s1 由 %s2 建立"
"[english]TF_playerid_object"	"%s1 built by %s2"
"TF_playerid_object_level"	"(第 %s1 級)"
"[english]TF_playerid_object_level"	"( Level %s1 )"
"TF_playerid_object_upgrading"	"升級進度：%s1"
"[english]TF_playerid_object_upgrading"	"Upgrade Progress: %s1"
"TF_playerid_object_upgrading_level"	"(第 %s1 級) 升級進度： %s2"
"[english]TF_playerid_object_upgrading_level"	"( Level %s1 ) Upgrade Progress: %s2"
"TF_playerid_object_diffteam"	"敵人 %s1 由 %s2 建立"
"[english]TF_playerid_object_diffteam"	"Enemy %s1 built by %s2"
"TF_playerid_object_recharging"	"充電中：%s1%"
"[english]TF_playerid_object_recharging"	"Recharging: %s1%"
"TF_playerid_healer"	"治療者： "
"[english]TF_playerid_healer"	"Healer: "
"TF_playerid_healtarget"	"治療： "
"[english]TF_playerid_healtarget"	"Healing: "
"TF_playerid_friendlyspy_disguise"	"偽裝成 %s1 %s2"
"[english]TF_playerid_friendlyspy_disguise"	"Disguised as %s1 %s2"
"TF_playerid_mediccharge"	"ÜberCharge：%s1%"
"[english]TF_playerid_mediccharge"	"ÜberCharge: %s1%"
"TF_playerid_mediccharge_wpn"	"ÜberCharge：%s1% (%s2)"
"[english]TF_playerid_mediccharge_wpn"	"ÜberCharge: %s1% (%s2)"
"TF_playerid_noheal"	"十字鎬阻擋治療！"
"[english]TF_playerid_noheal"	"Equalizer blocks healing!"
"TF_friendly"	"友方"
"[english]TF_friendly"	"friendly"
"TF_enemy"	"敵方"
"[english]TF_enemy"	"enemy"
"TF_Title"	"絕地要塞"
"[english]TF_Title"	"TEAM FORTRESS"
"TF_ClassSpecific_Keys"	"兵種專屬技能"
"[english]TF_ClassSpecific_Keys"	"CLASS SPECIFIC SKILL"
"TF_ClassSkill_Medic"	"MEDIC：部署 ÜberCharge"
"[english]TF_ClassSkill_Medic"	"MEDIC: Deploy ÜberCharge"
"TF_ClassSkill_Heavy"	"HEAVY：旋轉格林機槍的槍管"
"[english]TF_ClassSkill_Heavy"	"HEAVY: Spin Minigun Barrel"
"TF_ClassSkill_Sniper"	"SNIPER：使用狙擊鏡放大目標"
"[english]TF_ClassSkill_Sniper"	"SNIPER: Zoom Sniper Rifle"
"TF_ClassSkill_Spy"	"SPY：隱形 / 解除隱形"
"[english]TF_ClassSkill_Spy"	"SPY: Cloak / Uncloak"
"TF_ClassSkill_Spy_LastDisguise"	"SPY：前次的偽裝"
"[english]TF_ClassSkill_Spy_LastDisguise"	"SPY: Last Disguise"
"TF_ClassSkill_Spy_DisguiseTeam"	"SPY：切換偽裝隊伍"
"[english]TF_ClassSkill_Spy_DisguiseTeam"	"SPY: Toggle Disguise Team"
"TF_ClassSkill_Demoman"	"DEMOMAN：引爆黏性炸彈"
"[english]TF_ClassSkill_Demoman"	"DEMOMAN: Detonate Stickybombs"
"TF_Call_For_Medic"	"呼叫 Medic"
"[english]TF_Call_For_Medic"	"Call for a Medic"
"TF_DropFlag"	"丟下公事包"
"[english]TF_DropFlag"	"Drop the briefcase"
"TF_Switch_Classes_Immediately"	"立即換兵種"
"[english]TF_Switch_Classes_Immediately"	"Switch classes immediately"
"TF_Toggle_RoundInfo_Map"	"切換回合資訊地圖"
"[english]TF_Toggle_RoundInfo_Map"	"Toggle Round Info Map"
"TF_MapInfo"	"顯示地圖資訊"
"[english]TF_MapInfo"	"Show Map Information"
"TF_Inspect"	"調查目標"
"[english]TF_Inspect"	"Inspect Target"
"TF_voice_menu_A"	"聲音選單 1"
"[english]TF_voice_menu_A"	"Voice Menu 1"
"TF_voice_menu_B"	"聲音選單 2"
"[english]TF_voice_menu_B"	"Voice Menu 2"
"TF_voice_menu_C"	"聲音選單 3"
"[english]TF_voice_menu_C"	"Voice Menu 3"
"TF_freezecam_snapshot"	"[%s1] 儲存這一刻！"
"[english]TF_freezecam_snapshot"	"[%s1] Save this moment!"
"TF_Chat_Team_Loc"	"(團隊) %s1 @ %s3 :  %s2"
"[english]TF_Chat_Team_Loc"	"(TEAM) %s1 @ %s3 :  %s2"
"TF_Chat_Team"	"(團隊) %s1 :  %s2"
"[english]TF_Chat_Team"	"(TEAM) %s1 :  %s2"
"TF_Chat_Team_Dead"	"*死亡*(團隊) %s1 :  %s2"
"[english]TF_Chat_Team_Dead"	"*DEAD*(TEAM) %s1 :  %s2"
"TF_Chat_Spec"	"(觀眾) %s1 :  %s2"
"[english]TF_Chat_Spec"	"(Spectator) %s1 :  %s2"
"TF_Chat_All"	"%s1 :  %s2"
"[english]TF_Chat_All"	"%s1 :  %s2"
"TF_Chat_AllDead"	"*陣亡* %s1 :  %s2"
"[english]TF_Chat_AllDead"	"*DEAD* %s1 :  %s2"
"TF_Chat_AllSpec"	"*旁觀者* %s1 :  %s2"
"[english]TF_Chat_AllSpec"	"*SPEC* %s1 :  %s2"
"TF_Name_Change"	"* %s1 把名字改為 %s2"
"[english]TF_Name_Change"	"* %s1 changed name to %s2"
"TF_holiday_restriction_halloween"	"假日限制：萬聖節前夕"
"[english]TF_holiday_restriction_halloween"	"Holiday Restriction: Halloween"
"TF_Weapon_Bat"	"球棒"
"[english]TF_Weapon_Bat"	"Bat"
"TF_Weapon_Bottle"	"瓶子"
"[english]TF_Weapon_Bottle"	"Bottle"
"TF_Weapon_FireAxe"	"消防斧"
"[english]TF_Weapon_FireAxe"	"Fire Axe"
"TF_Weapon_Club"	"喀爾克大彎刀"
"[english]TF_Weapon_Club"	"Kukri"
"TF_Weapon_Crowbar"	"鐵撬"
"[english]TF_Weapon_Crowbar"	"Crowbar"
"TF_Weapon_Bonesaw"	"鋸子"
"[english]TF_Weapon_Bonesaw"	"Bonesaw"
"TF_Weapon_FlameThrower"	"火焰噴射器"
"[english]TF_Weapon_FlameThrower"	"Flame Thrower"
"TF_Weapon_GrenadeLauncher"	"榴彈發射器"
"[english]TF_Weapon_GrenadeLauncher"	"Grenade Launcher"
"TF_Weapon_PipebombLauncher"	"黏性炸彈發射器"
"[english]TF_Weapon_PipebombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Knife"	"刀子"
"[english]TF_Weapon_Knife"	"Knife"
"TF_Weapon_Medikit"	"醫護包"
"[english]TF_Weapon_Medikit"	"Medikit"
"TF_Weapon_Minigun"	"格林機槍"
"[english]TF_Weapon_Minigun"	"Minigun"
"TF_Weapon_Pistol"	"手槍"
"[english]TF_Weapon_Pistol"	"Pistol"
"TF_Weapon_Fists"	"拳頭"
"[english]TF_Weapon_Fists"	"Fists"
"TF_Weapon_Revolver"	"左輪手槍"
"[english]TF_Weapon_Revolver"	"Revolver"
"TF_Weapon_RocketLauncher"	"火箭發射器"
"[english]TF_Weapon_RocketLauncher"	"Rocket Launcher"
"TF_Weapon_Shotgun"	"散彈槍"
"[english]TF_Weapon_Shotgun"	"Shotgun"
"TF_Weapon_Shovel"	"鐵鍬"
"[english]TF_Weapon_Shovel"	"Shovel"
"TF_Weapon_SMG"	"衝鋒槍"
"[english]TF_Weapon_SMG"	"SMG"
"TF_Weapon_SniperRifle"	"狙擊槍"
"[english]TF_Weapon_SniperRifle"	"Sniper Rifle"
"TF_Weapon_SuperSMG"	"超級衝鋒槍"
"[english]TF_Weapon_SuperSMG"	"Super SMG"
"TF_Weapon_StickybombLauncher"	"黏性炸彈發射器"
"[english]TF_Weapon_StickybombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Tranq"	"鎮定槍"
"[english]TF_Weapon_Tranq"	"Tranquilizer Gun"
"TF_Weapon_Wrench"	"扳手"
"[english]TF_Weapon_Wrench"	"Wrench"
"TF_Weapon_ObjectSelection"	"建造"
"[english]TF_Weapon_ObjectSelection"	"Build"
"TF_Weapon_PDA_Engineer"	"PDA"
"[english]TF_Weapon_PDA_Engineer"	"PDA"
"TF_Weapon_Flag"	"旗幟"
"[english]TF_Weapon_Flag"	"Flag"
"TF_Weapon_Nailgun"	"釘槍"
"[english]TF_Weapon_Nailgun"	"Nail Gun"
"TF_Weapon_Medigun"	"醫療槍"
"[english]TF_Weapon_Medigun"	"Medi Gun"
"TF_Weapon_Scattergun"	"雙管霰彈槍"
"[english]TF_Weapon_Scattergun"	"Scattergun"
"TF_Weapon_SyringeGun"	"注射槍"
"[english]TF_Weapon_SyringeGun"	"Syringe Gun"
"TF_Weapon_Watch"	"隱形手錶"
"[english]TF_Weapon_Watch"	"Invis Watch"
"TF_Weapon_FlareGun"	"信號槍"
"[english]TF_Weapon_FlareGun"	"Flare Gun"
"TF_Weapon_LunchBox"	"餐盒"
"[english]TF_Weapon_LunchBox"	"Lunch Box"
"TF_Wearable_Shield"	"防護罩"
"[english]TF_Wearable_Shield"	"Shield"
"TF_Weapon_Jar"	"罐子流空手道"
"[english]TF_Weapon_Jar"	"Jar Based Karate"
"TF_Weapon_CompoundBow"	"弓"
"[english]TF_Weapon_CompoundBow"	"Bow"
"TF_Weapon_Battle_Banner"	"戰鬥旗幟"
"[english]TF_Weapon_Battle_Banner"	"Battle Banner"
"TF_Weapon_Sword"	"劍"
"[english]TF_Weapon_Sword"	"Sword"
"TF_Weapon_Pickaxe"	"尖嘴鎬"
"[english]TF_Weapon_Pickaxe"	"Pickaxe"
"TF_Weapon_SledgeHammer"	"大鎚"
"[english]TF_Weapon_SledgeHammer"	"Sledgehammer"
"TF_Weapon_MakeshiftClub"	"權宜之計俱樂部"
"[english]TF_Weapon_MakeshiftClub"	"Makeshift Club"
"TF_Wearable_Boots"	"靴子"
"[english]TF_Wearable_Boots"	"Boots"
"TF_Wearable_Medal"	"勳章"
"[english]TF_Wearable_Medal"	"Medal"
"TF_Wearable_Holiday_Hat"	"假日小帽"
"[english]TF_Wearable_Holiday_Hat"	"Holiday Hat"
"TF_Wearable_HonestyHalo"	"廉潔光環"
"[english]TF_Wearable_HonestyHalo"	"Aura of Incorruptibility"
"TF_Scout_Hat_1"	"打擊者頭盔"
"[english]TF_Scout_Hat_1"	"Batter's Helmet"
"TF_Sniper_Hat_1"	"戰利品腰帶"
"[english]TF_Sniper_Hat_1"	"Trophy Belt"
"TF_Soldier_Hat_1"	"士兵特製頭盔"
"[english]TF_Soldier_Hat_1"	"Soldier's Stash"
"TF_Demo_Hat_1"	"Demoman 爆炸頭"
"[english]TF_Demo_Hat_1"	"Demoman's Fro"
"TF_Medic_Hat_1"	"普魯士戰盔"
"[english]TF_Medic_Hat_1"	"Prussian Pickelhaube"
"TF_Pyro_Hat_1"	"Pyro 的無邊帽"
"[english]TF_Pyro_Hat_1"	"Pyro's Beanie"
"TF_Heavy_Hat_1"	"足球頭盔"
"[english]TF_Heavy_Hat_1"	"Football Helmet"
"TF_Engineer_Hat_1"	"採礦燈"
"[english]TF_Engineer_Hat_1"	"Mining Light"
"TF_Spy_Hat_1"	"花俏軟呢帽"
"[english]TF_Spy_Hat_1"	"Fancy Fedora"
"TF_Engineer_Cowboy_Hat"	"德州牛仔帽"
"[english]TF_Engineer_Cowboy_Hat"	"Texas Ten Gallon"
"TF_Engineer_Train_Hat"	"Engineer 的鴨舌帽"
"[english]TF_Engineer_Train_Hat"	"Engineer's Cap"
"TF_Heavy_Ushanka_Hat"	"俄軍長耳帽"
